,SENTIMENT
0,1
1,-1
2,0
3,0
4,-1
5,-1
6,0
7,0
8,0
9,0
10,0
11,1
12,1
13,0
14,1
15,0
16,0
17,-1
18,0
19,1
20,0
21,-1
22,1
23,0
24,0
25,0
26,0
27,0
28,1
29,-1
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,0
40,1
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,1
54,1
55,0
56,0
57,0
58,0
59,0
60,1
61,1
62,0
63,0
64,0
65,0
66,-1
67,0
68,0
69,0
70,1
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,1
84,0
85,0
86,0
87,1
88,1
89,1
90,1
91,0
92,0
93,1
94,1
95,1
96,-1
97,-1
98,0
99,1
100,1
101,0
102,0
103,1
104,-1
105,1
106,1
107,0
108,1
109,1
110,0
111,1
112,0
113,1
114,0
115,1
116,1
117,0
118,0
119,0
120,1
121,1
122,0
123,0
124,1
125,0
126,0
127,0
128,-1
129,1
130,1
131,1
132,0
133,0
134,-1
135,-1
136,1
137,-1
138,0
139,1
140,0
141,1
142,1
143,1
144,1
145,0
146,0
147,1
148,1
149,0
150,0
151,1
152,0
153,0
154,-1
155,0
156,0
157,0
158,-1
159,0
160,1
161,0
162,0
163,0
164,1
165,-1
166,-1
167,1
168,0
169,-1
170,1
171,1
172,-1
173,0
174,0
175,0
176,0
177,0
178,0
179,1
