,SENTIMENT
0,1
1,1
2,1
3,1
4,-1
5,0
6,-1
7,-1
8,1
9,1
10,-1
11,1
12,0
13,1
14,1
15,1
16,-1
17,-1
18,-1
19,0
20,0
21,-1
22,0
23,0
24,0
25,-1
26,0
27,1
28,0
29,0
30,1
31,0
32,1
33,1
34,0
35,0
36,1
37,0
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,1
46,1
47,0
48,1
49,1
50,1
51,0
52,1
53,0
54,1
55,0
56,0
57,0
58,1
59,-1
60,1
61,0
62,0
63,1
64,0
65,-1
66,0
67,0
68,0
69,-1
70,0
71,0
72,0
73,1
74,1
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,1
83,-1
84,1
85,0
86,-1
87,1
88,1
89,0
90,1
91,1
92,0
93,0
94,1
95,-1
96,0
97,0
98,0
99,0
100,0
101,-1
102,-1
103,1
104,0
105,1
106,1
107,1
108,1
109,-1
110,0
111,0
112,0
113,1
114,1
115,1
116,0
117,0
118,0
119,1
120,-1
121,1
122,1
123,0
124,1
125,0
126,0
127,1
128,0
129,0
130,0
131,-1
132,0
133,-1
134,-1
135,0
136,-1
137,0
138,0
139,1
140,0
141,0
