,SENTIMENT
0,1
1,0
2,0
3,1
4,1
5,0
6,0
7,1
8,0
9,0
10,0
11,1
12,0
13,1
14,0
15,-1
16,-1
17,0
18,0
19,0
20,-1
21,1
22,0
23,0
24,0
25,1
26,1
27,0
28,0
29,0
30,0
31,1
32,-1
33,0
34,1
35,1
36,0
37,0
38,1
39,1
40,1
41,0
42,1
43,1
44,0
45,1
46,0
47,-1
48,-1
49,0
50,0
51,0
52,-1
53,1
54,0
55,1
56,1
57,0
58,1
59,-1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,0
68,0
69,0
70,-1
71,-1
72,0
73,-1
74,0
75,1
76,0
77,1
78,0
79,1
80,0
81,0
82,0
83,1
84,-1
85,0
86,1
87,1
88,0
89,0
90,1
91,0
92,1
93,1
94,-1
95,0
96,1
97,0
98,1
99,0
100,0
101,1
102,0
103,0
104,1
105,1
106,0
107,1
108,0
109,0
110,1
111,1
112,1
113,1
114,0
115,1
116,1
117,0
118,0
119,1
