,SENTIMENT
0,0
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,1
9,-1
10,0
11,0
12,1
13,0
14,0
15,-1
16,1
17,0
18,1
19,1
20,0
21,0
22,-1
23,0
24,1
25,1
26,-1
27,0
28,1
29,0
30,0
31,-1
32,0
33,1
34,1
35,0
36,1
37,0
38,1
39,-1
40,1
41,1
42,0
43,0
44,1
45,0
46,0
47,0
48,1
49,1
50,0
51,-1
52,0
53,-1
54,0
55,1
56,0
57,0
58,1
59,0
60,-1
61,0
62,-1
63,0
64,1
65,0
66,-1
67,1
68,0
69,0
70,0
71,0
72,1
73,0
74,1
75,-1
76,1
77,0
78,0
79,0
80,0
81,0
82,0
83,-1
84,-1
85,0
86,0
87,0
88,0
89,1
90,1
91,0
92,1
93,0
94,0
95,-1
96,0
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,0
105,1
106,1
107,1
108,1
109,-1
110,1
111,1
112,0
113,0
114,0
115,0
116,1
117,0
118,1
119,0
120,1
121,1
122,-1
123,1
124,0
125,0
126,0
127,0
