,SENTIMENT
0,0
1,0
2,0
3,0
4,0
5,-1
6,0
7,0
8,0
9,-1
10,-1
11,1
12,0
13,0
14,1
15,0
16,-1
17,0
18,-1
19,-1
20,-1
21,-1
22,0
23,1
24,-1
25,0
26,0
27,-1
28,1
29,0
30,-1
31,0
32,1
33,0
34,-1
35,1
36,1
37,-1
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,-1
46,0
47,0
48,1
49,0
50,1
51,1
52,0
53,1
54,1
55,0
56,1
57,0
58,0
59,0
60,1
61,0
62,0
63,1
64,0
65,0
66,-1
67,1
68,1
69,1
70,-1
71,0
72,-1
73,0
74,0
75,-1
76,1
77,1
78,0
79,-1
80,1
81,0
82,1
83,-1
84,-1
85,0
86,1
87,1
88,0
89,1
90,0
91,1
92,1
93,1
94,1
95,0
96,1
97,0
98,1
99,0
100,0
101,1
102,1
103,0
104,1
105,0
106,0
107,0
108,0
109,1
110,0
111,1
112,-1
113,0
114,0
115,-1
116,0
117,0
118,0
119,0
120,0
121,1
122,0
123,0
124,1
125,0
126,0
127,0
128,1
